full_text,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,visual_format,first_line,hook_150,url,_source,rank,source,totalEngagement,numLikes,numComments,numShares,lego_1_topic,lego_2_angle,lego_3_hook_type,lego_3_hook_text,lego_4_story_structure,lego_5_visual_format,lego_7_rhythm,post_url,lego_6_key_visual,image_url
"Half the company came into the office on Saturday.

I made a deal with 🌶 Bennett Amodio that if the team collectively did 4000 pull-ups in 8 hours, we'd add a monthly fitness stipend to our benefits.

So Bennett rallied people to train for two months leading up to the Pylon Pull-Up Challenge. 

The team absolutely shattered the goal with...

→ 4012 pull-ups
→ 23 participants 
→ 6 hours
→ 2 pull-up bars

...and most importantly, everyone had a fun time gathering and cheering each other on.

If yo",,,,,Teacher,General,Insight/Observation,Listicle/Breakdown,Text-only,Half the company came into the office on Saturday.,"Half the company came into the office on Saturday.

I made a deal with 🌶 Bennett Amodio that if the team collectively did 4000 pull-ups in 8 hours, we",,product_led_top50_idea_legos_analysis.csv,17.0,,1242.0,1106.0,129.0,7.0,Sales,Founder perspective,Teacher,"Half the company came into the office on Saturday.  I made a deal with 🌶 Bennett Amodio that if the team collectively did 4000 pull-ups in 8 hours, we",List,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_half-the-company-came-into-the-office-on-activity-7389330319776186368-J6GO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE,,
"Self-serve will kill your early-stage startup.


Most founders launch self-serve too early because they think it will scale faster than sales. They assume customers will figure it out themselves. They believe a great product should sell itself.

But if no one is buying, self-serve won’t fix it.

Self-serve only works when buyers already know they need you. At the early stage, they don’t. 

If you haven’t closed deals manually, refined your messaging through direct sales conversations, and spoken",,,,,Teacher,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,Self-serve will kill your early-stage startup.,"Self-serve will kill your early-stage startup.


Most founders launch self-serve too early because they think it will scale faster than sales. They as",,product_led_top50_idea_legos_analysis.csv,18.0,,1239.0,1061.0,148.0,30.0,Sales,Founder perspective,Teacher,Self-serve will kill your early-stage startup.   Most founders launch self-serve too early because they think it will scale faster than sales. They as,Narrative,text,Balanced,https://www.linkedin.com/posts/zhu-amanda_self-serve-will-kill-your-early-stage-startup-activity-7304170285908246529-2-MA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD6AlqkB9icFcqPlM-kjsyBUVX9BSRSGwmQ,,
"With 4 months of runway left, I had two options: figure it out or shut down. 
Today, we’re at $11M ARR.

That moment felt impossible. But looking back, it was the best thing that could’ve happened.

When survival is on the line, you stop over-complicating and focus on what actually works:

- We cut every initiative that didn’t drive revenue.
- We stopped selling to the wrong customers.
- We built a repeatable sales motion. 

It wasn’t easy. It wasn’t fun.

But pressure forced our best decisions.",,,,,Magician,GTM/Sales,Insight/Observation,Contrast Format,Text-only,"With 4 months of runway left, I had two options: figure it out or shut down.","With 4 months of runway left, I had two options: figure it out or shut down. 
Today, we’re at $11M ARR.

That moment felt impossible. But looking back",,product_led_top50_idea_legos_analysis.csv,19.0,,1081.0,999.0,78.0,4.0,Growth,Founder perspective,Teacher,"With 4 months of runway left, I had two options: figure it out or shut down.  Today, we’re at $11M ARR.  That moment felt impossible. But looking back",List,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_with-4-months-of-runway-left-i-had-two-options-activity-7308866243451662337-eS3y?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF9PVtYBn0ayEYj-TCT7SFDq_YLl5UBbV_o,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHKNZBoOtMFrg/image-shrink_480/B56ZW5PHNMHQAo-/0/1742569503117?e=1770825600&v=beta&t=ZZN7HvzRHNuVwJ9iaytX0j1PGai0OOHfJpKrJebIv5I
"If you’re under $5M ARR, top-of-funnel is a waste of time. Let me explain.


Three years ago, I was obsessed with getting more traffic, more leads, more visibility.
I thought top-of-funnel was the answer.

It wasn’t.

Here’s what I got wrong:

If you’re at $0-$5M ARR, your limited marketing resources should go toward converting people who are already aware of the problem.

Once you’ve maxed out the buyers actively searching for a solution, top-of-funnel starts to make sense because you need to c",,,,,Magician,Marketing/Content,Insight/Observation,Story → Twist → Lesson,Text-only,"If you’re under $5M ARR, top-of-funnel is a waste of time. Let me explain.","If you’re under $5M ARR, top-of-funnel is a waste of time. Let me explain.


Three years ago, I was obsessed with getting more traffic, more leads, mo",,product_led_top50_idea_legos_analysis.csv,20.0,,1078.0,964.0,90.0,24.0,Growth,Founder perspective,Magician,"If you’re under $5M ARR, top-of-funnel is a waste of time. Let me explain.   Three years ago, I was obsessed with getting more traffic, more leads, mo",Narrative,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_if-youre-under-5m-arr-top-of-funnel-is-activity-7301633570001825792-tFjQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACv9zQ4Bj9_KAnnRxPpUDt5P4VViESeVJx8,,
"I need to address something.

Last week this WSJ article about us went viral.

A lot of opinions lacking context about us as a company and people spread.

Here are important points I want to clarify:

1 - There are multiple founders that were mentioned in this article. What other founders said about their own companies does not apply to us.

2 - This article was about FOUNDERS, not employees. The title is ""AI Startup Founders Tout a Winning Formula..."" At Pylon, the founders (Advith, Robert, me)",,,,,Teacher,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,I need to address something.,"I need to address something.

Last week this WSJ article about us went viral.

A lot of opinions lacking context about us as a company and people spre",,product_led_top50_idea_legos_analysis.csv,21.0,,1075.0,977.0,86.0,12.0,Startup Lessons,Personal experience,Teacher,I need to address something.  Last week this WSJ article about us went viral.  A lot of opinions lacking context about us as a company and people spre,Narrative,image,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_i-need-to-address-something-last-week-this-activity-7374240865470435329-f5oP?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADIH0wkBRL2K1g3VG7YO32sknMUIuLvalNI,See image URL,https://media.licdn.com/dms/image/v2/D5610AQFSZGmkPv4-Ww/image-shrink_480/B56ZlaQ_CmKIAo-/0/1758156028370?e=1770825600&v=beta&t=K_FxpTqn6ZlCUR8mRX79m19claNV792jv6hzlvJigxE
"We just raised our $38M Series B. To celebrate, we’re buying lunch for every dev, founder, and product person in SF.

Thursday we shared the news.
Today it’s our turn to say thank you.

If you’re in SF, drop “Lunch” in the comments and I’ll reach out.
Or tag a dev, founder, or product friend in SF. We’ll take care of them too.

At the end of the day, this raise isn’t just about us.
It’s about the builders turning ideas into the next wave of AI.

p.s. bandwidth is limited so I’m keeping this to t",,,,,Magician,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,"We just raised our $38M Series B. To celebrate, we’re buying lunch for every dev, founder, and product person in SF.","We just raised our $38M Series B. To celebrate, we’re buying lunch for every dev, founder, and product person in SF.

Thursday we shared the news.
Tod",,product_led_top50_idea_legos_analysis.csv,22.0,,1062.0,538.0,513.0,11.0,Fundraising,Founder perspective,Magician,"We just raised our $38M Series B. To celebrate, we’re buying lunch for every dev, founder, and product person in SF.  Thursday we shared the news. Tod",Narrative,image,Balanced,https://www.linkedin.com/posts/zhu-amanda_we-just-raised-our-38m-series-b-to-celebrate-activity-7370834570700771328-RPRX?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXo4mUB7g5FphHN6ij54fkYNavWpOpyZCo,See image URL,https://media.licdn.com/dms/image/v2/D5610AQGJ0Fn6Kqtrww/image-shrink_800/B56Zkp2_H0J8Ac-/0/1757343904793?e=1770825600&v=beta&t=0_f2GwrAAv74T1NqhYRoubxgP8QxDF_rq8U3gM36ays
"This is what a $250M company looks like.


And yet the thing I’m proud of from our Series B dinner was this:
Nobody sat by function.

Eng, DX, GTM - everyone mixed in naturally.
No silos. No hierarchy. Just one team.

These are the people who made Recall.ai the most reliable and most used to way to get meeting data.

The Series B isn’t the accomplishment.
This team is.",,,,,Magician,GTM/Sales,Insight/Observation,Statement → Commentary,Text-only,This is what a $250M company looks like.,"This is what a $250M company looks like.


And yet the thing I’m proud of from our Series B dinner was this:
Nobody sat by function.

Eng, DX, GTM - e",,product_led_top50_idea_legos_analysis.csv,23.0,,1003.0,954.0,46.0,3.0,Fundraising,Founder perspective,Magician,"This is what a $250M company looks like.   And yet the thing I’m proud of from our Series B dinner was this: Nobody sat by function.  Eng, DX, GTM - e",Narrative,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_this-is-what-a-250m-company-looks-like-activity-7379894272034152448-wsPt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFhLF2wBwkJ_DbB-aWKA77KfD4J0nhoY02c,See image URL,https://media.licdn.com/dms/image/v2/D4D10AQEBzXGwg1twUg/image-shrink_480/B4DZmqmumtHsAk-/0/1759503905344?e=1770825600&v=beta&t=JKGSkSDwpwaEiRwJ-bn6QN8hNzYAw7kHiCUFSPFN5Es
"2020: Left comfy job at Airbnb. Started my first startup
2021: 2 pivots, nothing works
2022: Advith, Robert, and I join forces
- We pivot together for months 
- Initial idea to solve Slack Support
- Incorporate Pylon Labs, Inc.
- Close first customer
- Get into YC

2023:
- $120k ARR in 3 months
- $3.2M Seed round from General Catalyst
- First hires
- Expand vision to ""startup support platform""
- Become the ""Zendesk killer""

2024:
- Expand vision to ""B2B support platform""
- Cash-flow positive
- $",,,,,Teacher,Startup/Founder,Insight/Observation,Listicle/Breakdown,Text-only,2020: Left comfy job at Airbnb. Started my first startup,"2020: Left comfy job at Airbnb. Started my first startup
2021: 2 pivots, nothing works
2022: Advith, Robert, and I join forces
- We pivot together for",,product_led_top50_idea_legos_analysis.csv,24.0,,961.0,896.0,64.0,1.0,Sales,Founder perspective,Teacher,"2020: Left comfy job at Airbnb. Started my first startup 2021: 2 pivots, nothing works 2022: Advith, Robert, and I join forces - We pivot together for",List,text,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_2020-left-comfy-job-at-airbnb-started-my-activity-7342974729248493568-j5p2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw,,
"Since raising our $38M Series B, people asked me what I’d do differently if I had to start over. 

My answer: I’d take every advantage. 

When I was a first-time founder, I thought I had to prove I could do it the “hard way.”
I didn’t move to SF.
I tried to learn every playbook from scratch.
I thought shortcuts would short change my growth.

But that’s not the case. The name of the game is speed, and you should take every advantage you can.

When I finally moved to SF, I experienced this myself:",,,,,Magician,Startup/Founder,Personal Experience,Story → Twist → Lesson,Text-only,"Since raising our $38M Series B, people asked me what I’d do differently if I had to start over.","Since raising our $38M Series B, people asked me what I’d do differently if I had to start over. 

My answer: I’d take every advantage. 

When I was a",,product_led_top50_idea_legos_analysis.csv,25.0,,952.0,879.0,60.0,13.0,Fundraising,Founder perspective,Magician,"Since raising our $38M Series B, people asked me what I’d do differently if I had to start over.   My answer: I’d take every advantage.   When I was a",Narrative Arc,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_since-raising-our-38m-series-b-people-asked-activity-7377719941157830656-RVzm?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADqL1OcBAXWrRcuI4d2AcDfThU3o9n6KtZg,See image URL,https://media.licdn.com/dms/image/v2/D5610AQGm_Ll8ymM_SA/image-shrink_20/B56ZmLtL5fH8AY-/0/1758985504365?e=1770825600&v=beta&t=84cb27Hb_kqcDkQX2bOHRfZn5Qo7MV6vMKZkXa_BNlQ
"I spent $25K on a dinner last Tuesday. The $10 name tags generated more ROI than any marketing campaign we’ve ever run.

We gave out metal name tags. Custom-engraved. Nothing fancy.
I almost died of anxiety getting them shipped in time.

But by Thursday, people were still wearing them around San Mateo. At totally different SaaStr events.

That’s when I knew this wasn’t just another founder dinner.
It was something people wanted to be identified with.

No RSVP forms. No sales pitch. Just 90 hand-",,,,,Magician,Leadership/Management,Personal Experience,Statement → Commentary,Text-only,I spent $25K on a dinner last Tuesday. The $10 name tags generated more ROI than any marketing campaign we’ve ever run.,"I spent $25K on a dinner last Tuesday. The $10 name tags generated more ROI than any marketing campaign we’ve ever run.

We gave out metal name tags.",,product_led_top50_idea_legos_analysis.csv,26.0,,946.0,875.0,60.0,11.0,Marketing,Personal experience,Experimenter,I spent $25K on a dinner last Tuesday. The $10 name tags generated more ROI than any marketing campaign we’ve ever run.  We gave out metal name tags. ,Problem → Solution,image,Short & Punchy,https://www.linkedin.com/posts/zhu-amanda_i-spent-25k-on-a-dinner-last-tuesday-the-activity-7330971907791429632-T8QB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABmkfQwBdcd2N4mdCYhNad7ezx_lBw3r6yI,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHuWMKUOK_fyQ/image-shrink_480/B56ZbzYFwhGoAs-/0/1747839904368?e=1770825600&v=beta&t=nLFoyrWbIc_DUiWALwfh-ZTQt1hlTUzE4t220AL7WhI
"Most websites show customers using their product.

Instead we tried something different...

We show customers that have migrated off incumbents.

Why? Getting customers to rip out their existing support system requires social proof.

I expect this next generation of AI-native products will start to adopt this pattern.

See it at: usepylon.com",,,,,Teacher,Product/Growth,Insight/Observation,Statement → Commentary,Text-only,Most websites show customers using their product.,"Most websites show customers using their product.

Instead we tried something different...

We show customers that have migrated off incumbents.

Why?",,product_led_top50_idea_legos_analysis.csv,27.0,,923.0,847.0,67.0,9.0,Sales,Founder perspective,Teacher,Most websites show customers using their product.  Instead we tried something different...  We show customers that have migrated off incumbents.  Why?,Narrative,image,Short & Punchy,https://www.linkedin.com/posts/martykausas_most-websites-show-customers-using-their-activity-7371935586963804160-wa2h?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACQtiwkB6kGZiEBy4_4SPa_ge0XcIUugnbw,See image URL,https://media.licdn.com/dms/image/v2/D5610AQG3lDso7IqEpA/image-shrink_480/B56Zk5gVz6J8Ao-/0/1757606405399?e=1770825600&v=beta&t=Dcoaa0_Z2e2q8HxtWgqXb1PZFX4A-ky01L4pZzlM9u4
"If you didn’t know, I’ve publicly shared the internal sales materials that got us to $11M ARR.

For example:

- Our discovery questions: https://lnkd.in/gAnr6raM
- Our email sequences: https://lnkd.in/gr99AVPa
- Our sales deck: https://lnkd.in/gKusuUfZ

After I posted them, a founder messaged me:
""I don’t get it. Aren’t you worried competitors will just copy you?""

I told them: ""If copying our playbook was enough to win, we already lost.""

Startups don’t win by protecting their playbook.
Sales s",,,,,Magician,Startup/Founder,Tactical/Framework,Statement → Commentary,Text-only,"If you didn’t know, I’ve publicly shared the internal sales materials that got us to $11M ARR.","If you didn’t know, I’ve publicly shared the internal sales materials that got us to $11M ARR.

For example:

- Our discovery questions: https://lnkd.",,product_led_top50_idea_legos_analysis.csv,28.0,,922.0,821.0,78.0,23.0,Startup Lessons,Founder perspective,Magician,"If you didn’t know, I’ve publicly shared the internal sales materials that got us to $11M ARR.  For example:  - Our discovery questions: https://lnkd.",List,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_if-you-didnt-know-ive-publicly-shared-activity-7305604771007078400-3zdL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD6AlqkB9icFcqPlM-kjsyBUVX9BSRSGwmQ,,
"We made it on Forbes 30 Under 30 🚀

3 years ago we started Pylon to kill Zendesk and build the first support platform for B2B. 

We've built that and even more...

→ Account Intelligence to proactively flag customer signals
→ AI that accelerates any post-sales workflow
→ Integrations to unify support data from every source

Thank you to our customers, team, and investors for getting us here.

We're incredibly proud to work on the best support platform with all of you.",,,,,Teacher,GTM/Sales,Insight/Observation,Story → Twist → Lesson,Text-only,We made it on Forbes 30 Under 30 🚀,"We made it on Forbes 30 Under 30 🚀

3 years ago we started Pylon to kill Zendesk and build the first support platform for B2B. 

We've built that and",,product_led_top50_idea_legos_analysis.csv,29.0,,922.0,833.0,87.0,2.0,Sales,Founder perspective,Teacher,We made it on Forbes 30 Under 30 🚀  3 years ago we started Pylon to kill Zendesk and build the first support platform for B2B.   We've built that and ,List,image,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_we-made-it-on-forbes-30-under-30-3-years-activity-7401747974995009536-r7IZ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACpj4_wB_AeedKfBsKnUu4DB0acy-JpWHjg,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHp8FBJKCMoKw/image-shrink_20/B56ZrhKkBSLUAY-/0/1764714234960?e=1770825600&v=beta&t=OjdzKvgDVHg-wk3sC6VLhQOg53CgZTuBGv-fVU-GKbQ
"Big. Update.


Recall.ai already powers billions of minutes of meeting recording through our Meeting Bot API (used by 2000+ companies, including HubSpot, ClickUp, and Apollo).

But bots aren’t the only way to capture conversations. 
Today, we’re introducing the Desktop Recording SDK.

It lets developers embed recording directly into their apps with no bots required.

That means:
1/ no bot accounts showing up in meetings
2/ recordings that “just work” across any desktop meeting app
3/ transcripts",,,,,Teacher,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,Big. Update.,"Big. Update.


Recall.ai already powers billions of minutes of meeting recording through our Meeting Bot API (used by 2000+ companies, including HubSp",,product_led_top50_idea_legos_analysis.csv,30.0,,918.0,824.0,81.0,13.0,Product Launch,Founder perspective,Teacher,"Big. Update.   Recall.ai already powers billions of minutes of meeting recording through our Meeting Bot API (used by 2000+ companies, including HubSp",Numbered Steps,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_big-update-recallai-already-powers-billions-activity-7371922100548317184-RGh-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXo4mUB7g5FphHN6ij54fkYNavWpOpyZCo,,
"YC W20 Demo Day: Our batch mates raised $5M, $10M, $20M.
We raised $300K.

We went home with a handful of meetings and a lot of “maybe later.”
A few people told us to give up.
Some said the market was too small.
A few more said, “If Demo Day didn’t pop, it’s probably not going to work.”

For a long time, it felt like they were right.

We spent the next five years building.
No big announcements.
No attention.
Just customers, product, and the same question every year:

“Are we still alive because ",,,,,Magician,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,"YC W20 Demo Day: Our batch mates raised $5M, $10M, $20M.","YC W20 Demo Day: Our batch mates raised $5M, $10M, $20M.
We raised $300K.

We went home with a handful of meetings and a lot of “maybe later.”
A few p",,product_led_top50_idea_legos_analysis.csv,31.0,,881.0,792.0,81.0,8.0,Fundraising,Founder perspective,Magician,"YC W20 Demo Day: Our batch mates raised $5M, $10M, $20M. We raised $300K.  We went home with a handful of meetings and a lot of “maybe later.” A few p",Narrative,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_yc-w20-demo-day-our-batch-mates-raised-5m-activity-7402739799364726784-m33_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAENSHnEBWADUDtUE5S_gaRkgrhghVxXmYhI,See image URL,https://media.licdn.com/dms/image/v2/D5610AQFdVHgocUyBSQ/image-shrink_480/B56ZrvQnNmLsA8-/0/1764950702582?e=1770825600&v=beta&t=EvK_tI0xTGmgo0LLxxcuMw-_LuxpR6JkQcOLLpPPcTw
"I still remember the moment I thought we had failed. It was 2:30 AM.


I was at my kitchen table, surrounded by coffee cups, staring at our latest product mockups.

“We’ve been at this for 8 months. Why isn’t this working yet?”

I thought startups took about a year to figure out.

So I messaged a founder friend who had just raised a Series B.

”I was 2.5 years in before we had any idea if this would work. 4 years before real traction.”

At first, I thought they were an outlier.

I asked other fo",,,,,Teacher,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,I still remember the moment I thought we had failed. It was 2:30 AM.,"I still remember the moment I thought we had failed. It was 2:30 AM.


I was at my kitchen table, surrounded by coffee cups, staring at our latest pro",,product_led_top50_idea_legos_analysis.csv,32.0,,867.0,742.0,102.0,23.0,Startup Lessons,Personal experience,Teacher,"I still remember the moment I thought we had failed. It was 2:30 AM.   I was at my kitchen table, surrounded by coffee cups, staring at our latest pro",Narrative Arc,text,Balanced,https://www.linkedin.com/posts/zhu-amanda_i-still-remember-the-moment-i-thought-we-activity-7313939661138153475-xUpY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADs6jaABL787bQYRhLjcBo2NCXWQ0-9LROE,,
"Most investor questions aren’t what they seem. Here's what they're really asking.

I've raised 3 rounds and been in hundreds of investor meetings.

The pattern is clear: most questions are designed to uncover the same few concerns.

When they ask ""How will you get the next 10 customers?"" they're really asking:
""Do you have a repeatable, scalable way to grow, or is this all founder-led?""

When they ask ""Why now?"" they're testing:
""Is there a market shift making this the perfect time? Or could thi",,,,,Teacher,Startup/Founder,Insight/Observation,Statement → Commentary,Text-only,Most investor questions aren’t what they seem. Here's what they're really asking.,"Most investor questions aren’t what they seem. Here's what they're really asking.

I've raised 3 rounds and been in hundreds of investor meetings.

Th",,product_led_top50_idea_legos_analysis.csv,33.0,,866.0,806.0,35.0,25.0,Fundraising,Founder perspective,Fortune Teller,Most investor questions aren’t what they seem. Here's what they're really asking.  I've raised 3 rounds and been in hundreds of investor meetings.  Th,Lesson,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_most-investor-questions-arent-what-they-activity-7310678182829912064-Z3vg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF9PVtYBn0ayEYj-TCT7SFDq_YLl5UBbV_o,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHLHNxR76-9HQ/image-shrink_1280/B56ZXS_D4bGQAM-/0/1743001502669?e=1770825600&v=beta&t=IYw59xajH720hHnzj9iIi5SijS7l2hbldkAR1HlBPAI
"Laid off. Fired. Gaps in your resume. None of these are red flags.


Most hiring managers see resume gaps as automatic deal-breakers.

I don’t.

At Recall.ai , we’ve hired ex-founders who shut down their startups, people who got fired, and people who took two-year career breaks.

Some of them are now leading critical parts of the company.

Because “gaps” isn’t always about performance.

Because taking a break can mean self-awareness, not weakness.

When I interview candidates with these “gaps”, ",,,,,Teacher,Leadership/Management,Personal Experience,Statement → Commentary,Text-only,Laid off. Fired. Gaps in your resume. None of these are red flags.,"Laid off. Fired. Gaps in your resume. None of these are red flags.


Most hiring managers see resume gaps as automatic deal-breakers.

I don’t.

At Re",,product_led_top50_idea_legos_analysis.csv,34.0,,863.0,789.0,50.0,24.0,Sales,Founder perspective,Teacher,Laid off. Fired. Gaps in your resume. None of these are red flags.   Most hiring managers see resume gaps as automatic deal-breakers.  I don’t.  At Re,Narrative,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_laid-off-fired-gaps-in-your-resume-none-activity-7311765330278653952-Mul4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADs6jaABL787bQYRhLjcBo2NCXWQ0-9LROE,,
"3 years ago exactly, we started at 0.

0 customers. 0 employees. 0 demos. 0 product.

3 years later, in numbers...

- 4 SKUs
- 5.75x YoY growth for the past 12 months
- 8 teams (engineering, support, solutions, sales...)
- 65 employees
- 93% GRR
- 100% of leaders promoted internally
- 129 events hosted
- 162% NRR
- 193 countries served (end-users)
- 229 migrations completed
- 468 founder syncs
- 726 LinkedIn posts
- 943 dinners at the office
- 1,010 B2B customers
- 1,150 bobas consumed (estimate",,,,,Magician,GTM/Sales,Data/Numbers,Listicle/Breakdown,Text-only,"3 years ago exactly, we started at 0.","3 years ago exactly, we started at 0.

0 customers. 0 employees. 0 demos. 0 product.

3 years later, in numbers...

- 4 SKUs
- 5.75x YoY growth for th",,product_led_top50_idea_legos_analysis.csv,35.0,,843.0,772.0,61.0,10.0,Sales,Radical transparency,Teacher,"3 years ago exactly, we started at 0.  0 customers. 0 employees. 0 demos. 0 product.  3 years later, in numbers...  - 4 SKUs - 5.75x YoY growth for th",List,linkedinVideo,Staccato (Short/Punchy),https://www.linkedin.com/posts/martykausas_3-years-ago-exactly-we-started-at-0-0-activity-7399129912495792128-jYLC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFkvkTAB0d8WbobX52s3XSR2kf5PfrWy8V4,,
"I got our first 100 customers from 2000 emails with a 36% reply rate. This is how I did it.

Not because I had perfect copy.
Not because of a magic subject line.

It worked because I built the right list.

So this is the step-by-step playbook:
1/ How I spotted prospects already in motion
2/ How to filter for people who will reply
3/ The exact sequence I used
4/ A disqualification checklist",,,,,Magician,GTM/Sales,Tactical/Framework,Statement → Commentary,Text-only,I got our first 100 customers from 2000 emails with a 36% reply rate. This is how I did it.,"I got our first 100 customers from 2000 emails with a 36% reply rate. This is how I did it.

Not because I had perfect copy.
Not because of a magic su",,product_led_top50_idea_legos_analysis.csv,36.0,,834.0,752.0,69.0,13.0,Sales,Radical transparency,Teacher,I got our first 100 customers from 2000 emails with a 36% reply rate. This is how I did it.  Not because I had perfect copy. Not because of a magic su,Numbered Steps,image,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_i-got-our-first-100-customers-from-2000-emails-activity-7376632814248603650-f9BA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADqL1OcBAXWrRcuI4d2AcDfThU3o9n6KtZg,See image URL,https://media.licdn.com/dms/image/v2/D5610AQHIR1G4Zv6V6w/image-shrink_480/B56Zl8QcpOHUAk-/0/1758726312865?e=1770825600&v=beta&t=N5iARsVOo4gmTogvRPayXrilUMFjfKqVX9ZJuEYziW8
"“You should definitely try building yourself.” I watched the CEO’s face light up. The CTO looked horrified.
It was the best sales call I’d had all month.

A startup was demoing our API. Fifteen minutes in, their CEO interrupted.
“We have 3 engineers. This can’t be that hard to build ourselves.”

My instinct was to start explaining why we’re better, faster, more reliable.

Instead, I took a step back and said:
“If I were in your shoes, I would try building first too.”

The CEO looked relieved. Th",,,,,Teacher,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,“You should definitely try building yourself.” I watched the CEO’s face light up. The CTO looked horrified.,"“You should definitely try building yourself.” I watched the CEO’s face light up. The CTO looked horrified.
It was the best sales call I’d had all mon",,product_led_top50_idea_legos_analysis.csv,37.0,,833.0,752.0,70.0,11.0,Sales,Founder perspective,Teacher,“You should definitely try building yourself.” I watched the CEO’s face light up. The CTO looked horrified. It was the best sales call I’d had all mon,Narrative,text,Highly Varied (Musical),https://www.linkedin.com/posts/zhu-amanda_you-should-definitely-try-building-yourself-activity-7340756363632943104-_3Zd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADw0mRYBSQhH_XZIMc99PusHGtWd6FiGizw,,
"💥 INTRODUCING PRODUCT INTELLIGENCE 💥

Turn your customer feedback into a product strategy. 

Support teams hear the same feature requests over and over.

But collaborating with the product team to build them is a lot of work.

You have to...

→ Gather mentions of the request
→ Quantify impact
→ Link evidence to Linear or Jira tickets
→ Notify customers upon release

Most teams don't have the time to do all this.

But with Product Intelligence, every step is automated for you.

Here's how it work",,,,,Fortune Teller,Product/Growth,Insight/Observation,Listicle/Breakdown,Text-only,💥 INTRODUCING PRODUCT INTELLIGENCE 💥,"💥 INTRODUCING PRODUCT INTELLIGENCE 💥

Turn your customer feedback into a product strategy. 

Support teams hear the same feature requests over and ove",,product_led_top50_idea_legos_analysis.csv,38.0,,830.0,677.0,126.0,27.0,Sales,Company milestone,Fortune Teller,💥 INTRODUCING PRODUCT INTELLIGENCE 💥  Turn your customer feedback into a product strategy.   Support teams hear the same feature requests over and ove,List,linkedinVideo,Highly Varied (Musical),https://www.linkedin.com/posts/martykausas_introducing-product-intelligence-turn-activity-7394418833060556801-0UTo?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7Ric0BnKQ7tSPSuuWqBlA7CQTXt0OjYd0,,
